"ISBN";"nb.Ratings";"mean";"sd";"max";"min";"med"
"000649840X";18;7.5;2.09;10;2;8
"002542730X";44;7.93;1.74;10;5;8
"006000438X";19;7.89;1.59;10;5;8
"006001203X";15;7.27;1.91;10;5;8
"006016848X";31;7;1.67;10;5;7
"006019491X";20;8.25;1.33;10;5;8
"006092988X";16;9.44;0.73;10;8;10
"006098824X";15;7.6;1.24;9;5;8
"006099486X";26;7.73;1.37;10;5;8
"006101351X";53;7.38;1.9;10;4;8
"006109868X";12;8.83;1.03;10;7;9
"006109921X";11;8.36;1.57;10;6;8
"014017737X";13;7.85;1.34;10;5;8
"014023313X";33;7.36;1.67;10;3;7
"014023828X";12;7.5;1.98;10;3;7.5
"014025448X";49;7.82;2.01;10;1;8
"014028009X";70;7.9;1.85;10;1;8
"014029628X";43;7.88;1.28;10;4;8
"014034294X";12;8.42;1.88;10;5;9
"014038572X";23;8.22;1.59;10;5;8
"014100018X";30;7.93;1.28;10;5;8
"014131088X";22;8.27;2.12;10;2;9
"015100692X";22;7.77;1.88;10;3;8
"015600710X";11;8.55;1.57;10;5;9
"015602943X";17;8.53;1.59;10;5;9
"031205436X";20;7.65;1.57;10;5;8
"031242227X";36;7.64;1.99;10;3;8
"031298328X";34;6.32;2.08;9;1;6
"034536676X";27;8.59;1.15;10;7;9
"034538184X";13;7.08;1.71;9;4;8
"034538430X";12;7.25;2.67;10;1;8
"034538475X";52;7.17;1.75;10;2;7
"034539657X";13;7.31;1.65;10;5;8
"034540288X";47;7.21;1.69;10;3;7
"034540761X";16;6.75;1.48;9;5;6.5
"034541389X";34;7.68;1.51;10;5;8
"034543479X";19;7.42;1.57;10;4;7
"034545104X";13;6.08;2.18;9;3;6
"037541309X";18;8.33;0.97;10;7;8
"037570485X";11;7.73;1.68;10;4;8
"037570504X";22;6.82;2.06;10;3;7
"037570910X";11;7.64;2.29;10;3;8
"037582233X";14;8.43;1.34;10;6;8.5
"038000321X";14;8.21;0.89;10;7;8
"038001503X";6;8.83;1.6;10;6;9.5
"038079487X";54;7.44;1.48;10;5;8
"038082101X";23;7.61;1.59;10;4;8
"038529929X";30;7.17;2.28;10;2;8
"038531258X";16;8.06;1.57;10;5;8
"038531292X";13;6.54;2.18;10;3;6
"038531700X";10;8.1;1.91;10;4;9
"038533334X";33;6.91;1.53;10;4;7
"038533348X";12;8.58;1.24;10;6;9
"038533558X";13;8.92;0.86;10;8;9
"038533656X";15;6.27;1.87;9;3;6
"038542017X";28;7.82;1.85;10;2;8
"038542471X";22;7.82;1.18;10;6;8
"038548951X";20;8.95;0.89;10;7;9
"038549081X";28;8.57;1.32;10;6;9
"038550120X";39;7.79;2;10;1;8
"038550926X";30;7;1.55;10;4;7
"038572179X";28;7.36;1.79;10;3;8
"039304016X";11;8.73;1.19;10;7;9
"039480001X";18;9.11;1.49;10;5;10
"039592720X";28;8.64;1.52;10;4;9
"039914465X";13;6.23;1.96;9;2;6
"039914563X";8;7.88;1.73;10;5;8.5
"039914613X";12;7.58;1.83;10;5;8
"039914739X";14;5.36;1.95;9;2;5
"039914840X";9;8.44;1.59;10;5;8
"039915079X";11;6.82;1.54;10;5;7
"042510107X";28;7.82;1.81;10;3;8
"042510687X";14;7.43;1.16;9;5;8
"042511774X";21;7.71;1.85;10;2;8
"042513525X";30;7.47;1.72;10;4;8
"042513699X";15;7.67;1.29;10;5;8
"042516098X";31;6.55;1.59;9;2;7
"042517736X";15;7;1.36;10;5;7
"042518109X";7;8.29;0.95;9;7;9
"042518286X";19;7.05;1.87;10;4;8
"042518630X";16;7.81;2.1;10;4;7.5
"043935806X";129;9.15;1.19;10;5;10
"043936213X";25;9.2;1.41;10;5;10
