"User.ID";"nb.Ratings";"mean";"sd";"max";"min";"med"
99;2;6.5;4.95;10;3;6.5
114;1;10;NA;10;10;10
243;10;7.5;1.65;10;5;7
244;5;7.8;1.3;9;6;8
254;14;8.5;0.85;10;7;9
383;1;5;NA;5;5;5
388;2;6.5;4.95;10;3;6.5
424;1;8;NA;8;8;8
446;2;5.5;3.54;8;3;5.5
487;2;7;0;7;7;7
503;3;10;0;10;10;10
505;1;7;NA;7;7;7
507;6;7.83;1.33;10;7;7
566;1;2;NA;2;2;2
567;1;10;NA;10;10;10
595;1;9;NA;9;9;9
638;20;9.45;0.76;10;7;10
643;3;5.67;3.21;8;2;7
651;2;7;1.41;8;6;7
709;2;8.5;2.12;10;7;8.5
735;1;4;NA;4;4;4
805;9;8.89;1.17;10;7;9
834;1;7;NA;7;7;7
853;1;8;NA;8;8;8
882;9;8.22;2.49;10;4;10
901;1;9;NA;9;9;9
929;4;7.5;1.91;10;6;7
1025;6;9;0.63;10;8;9
1075;7;8.43;1.4;10;7;9
1083;3;9;1.73;10;7;10
1129;4;5.5;1.73;7;3;6
1131;9;7;1.12;9;5;7
1155;1;6;NA;6;6;6
1161;2;5;0;5;5;5
1167;4;6.75;2.06;9;5;6.5
1211;2;8.5;0.71;9;8;8.5
1248;1;10;NA;10;10;10
1261;3;7;1;8;6;7
1409;4;7;1.83;9;5;7
1412;2;9;0;9;9;9
1424;11;7.27;0.79;8;6;7
1435;10;7.2;2.35;10;4;7.5
1548;4;7.25;1.5;8;5;8
1558;2;8;1.41;9;7;8
1585;7;6.57;1.27;8;4;7
1608;1;10;NA;10;10;10
1660;2;5.5;0.71;6;5;5.5
1674;4;8;2.45;10;5;8.5
1688;1;5;NA;5;5;5
1733;7;6.71;3.3;10;1;7
1790;2;6.5;2.12;8;5;6.5
1805;3;7.67;1.15;9;7;7
1812;1;7;NA;7;7;7
1848;6;8;1.67;10;5;8
1903;3;10;0;10;10;10
1928;1;10;NA;10;10;10
2010;1;10;NA;10;10;10
2012;5;7.2;3.03;10;2;8
2030;3;10;0;10;10;10
2033;16;8.75;1.69;10;5;9.5
2041;2;4;4.24;7;1;4
2103;1;9;NA;9;9;9
2110;7;7.57;1.99;10;5;8
2139;5;8.6;1.34;10;7;8
2179;6;9.17;0.75;10;8;9
2197;1;9;NA;9;9;9
2276;17;8.82;1.19;10;5;9
2287;4;6.25;0.96;7;5;6.5
2288;3;9;1;10;8;9
2313;5;6.2;2.68;9;3;5
2337;8;8;0.93;9;7;8
2358;1;8;NA;8;8;8
2399;1;9;NA;9;9;9
2437;3;8.33;1.15;9;7;9
2439;1;10;NA;10;10;10
2766;18;7.56;1.38;10;5;7.5
2793;2;6.5;0.71;7;6;6.5
2799;2;9;1.41;10;8;9
2855;2;6.5;2.12;8;5;6.5
2891;12;7.25;1.14;9;5;7
2954;1;10;NA;10;10;10
2977;5;6.4;2.41;9;3;7
3017;1;8;NA;8;8;8
3106;1;10;NA;10;10;10
